"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/geoaeiou/Desktop/spectrum/api/subscriptions/utils.js", "JavaScript", 25, 0, 3, 5, 33
"/Users/geoaeiou/Desktop/spectrum/api/test/channel/mutations/createChannel.test.js", "JavaScript", 129, 0, 2, 24, 155
"/Users/geoaeiou/Desktop/spectrum/api/test/channel/mutations/deleteChannel.test.js", "JavaScript", 203, 0, 2, 25, 230
"/Users/geoaeiou/Desktop/spectrum/api/test/channel/mutations/editChannel.test.js", "JavaScript", 78, 0, 2, 15, 95
"/Users/geoaeiou/Desktop/spectrum/api/test/channel/queries/blockedUsers.test.js", "JavaScript", 133, 0, 1, 20, 154
"/Users/geoaeiou/Desktop/spectrum/api/test/channel/queries/channelSettings.test.js", "JavaScript", 30, 0, 1, 5, 36
"/Users/geoaeiou/Desktop/spectrum/api/test/channel/queries/memberConnection.test.js", "JavaScript", 31, 0, 1, 4, 36
"/Users/geoaeiou/Desktop/spectrum/api/test/channel/queries/pendingUsers.test.js", "JavaScript", 133, 0, 1, 20, 154
"/Users/geoaeiou/Desktop/spectrum/api/test/channel/queries/root.test.js", "JavaScript", 36, 0, 1, 7, 44
"/Users/geoaeiou/Desktop/spectrum/api/test/channel/queries/slackSettings.test.js", "JavaScript", 108, 0, 1, 20, 129
"/Users/geoaeiou/Desktop/spectrum/api/test/community.test.js", "JavaScript", 86, 0, 1, 13, 100
"/Users/geoaeiou/Desktop/spectrum/api/test/community/mutations/createCommunity.test.js", "JavaScript", 90, 0, 2, 22, 114
"/Users/geoaeiou/Desktop/spectrum/api/test/community/mutations/editCommunity.test.js", "JavaScript", 68, 0, 2, 15, 85
"/Users/geoaeiou/Desktop/spectrum/api/test/community/mutations/toggleCommunityMembership.test.js", "JavaScript", 238, 0, 3, 33, 274
"/Users/geoaeiou/Desktop/spectrum/api/test/community/queries/communitySettings.test.js", "JavaScript", 20, 0, 1, 5, 26
"/Users/geoaeiou/Desktop/spectrum/api/test/community/queries/slackSettings.test.js", "JavaScript", 118, 0, 1, 20, 139
"/Users/geoaeiou/Desktop/spectrum/api/test/directMessageThread.test.js", "JavaScript", 133, 0, 6, 22, 161
"/Users/geoaeiou/Desktop/spectrum/api/test/message/mutations/addMessage.test.js", "JavaScript", 110, 0, 4, 12, 126
"/Users/geoaeiou/Desktop/spectrum/api/test/message/queries.test.js", "JavaScript", 38, 0, 1, 6, 45
"/Users/geoaeiou/Desktop/spectrum/api/test/thread/mutations/deleteThread.test.js", "JavaScript", 79, 0, 2, 21, 102
"/Users/geoaeiou/Desktop/spectrum/api/test/thread/mutations/publishThread.test.js", "JavaScript", 82, 0, 2, 15, 99
"/Users/geoaeiou/Desktop/spectrum/api/test/thread/queries/messageConnection.test.js", "JavaScript", 195, 0, 13, 30, 238
"/Users/geoaeiou/Desktop/spectrum/api/test/thread/queries/reversePagination.test.js", "JavaScript", 162, 0, 15, 26, 203
"/Users/geoaeiou/Desktop/spectrum/api/test/thread/queries/root.test.js", "JavaScript", 22, 0, 1, 4, 27
"/Users/geoaeiou/Desktop/spectrum/api/test/user.test.js", "JavaScript", 137, 0, 1, 18, 156
"/Users/geoaeiou/Desktop/spectrum/api/test/utils.js", "JavaScript", 21, 0, 2, 3, 26
"/Users/geoaeiou/Desktop/spectrum/api/test/utils/__mocks__/debug.js", "JavaScript", 11, 0, 1, 4, 16
"/Users/geoaeiou/Desktop/spectrum/api/test/utils/create-graphql-error-formatter.test.js", "JavaScript", 85, 0, 1, 21, 107
"/Users/geoaeiou/Desktop/spectrum/api/types/Channel.js", "JavaScript", 122, 0, 1, 21, 144
"/Users/geoaeiou/Desktop/spectrum/api/types/ChannelSlackSettings.js", "JavaScript", 20, 0, 1, 6, 27
"/Users/geoaeiou/Desktop/spectrum/api/types/Community.js", "JavaScript", 318, 0, 1, 53, 372
"/Users/geoaeiou/Desktop/spectrum/api/types/CommunityMember.js", "JavaScript", 85, 0, 1, 16, 102
"/Users/geoaeiou/Desktop/spectrum/api/types/CommunitySlackSettings.js", "JavaScript", 15, 0, 1, 3, 19
"/Users/geoaeiou/Desktop/spectrum/api/types/DirectMessageThread.js", "JavaScript", 62, 0, 1, 12, 75
"/Users/geoaeiou/Desktop/spectrum/api/types/Invoice.js", "JavaScript", 14, 0, 2, 3, 19
"/Users/geoaeiou/Desktop/spectrum/api/types/Message.js", "JavaScript", 61, 0, 1, 12, 74
"/Users/geoaeiou/Desktop/spectrum/api/types/Meta.js", "JavaScript", 58, 0, 1, 7, 66
"/Users/geoaeiou/Desktop/spectrum/api/types/Notification.js", "JavaScript", 75, 0, 1, 10, 86
"/Users/geoaeiou/Desktop/spectrum/api/types/Reaction.js", "JavaScript", 24, 0, 1, 6, 31
"/Users/geoaeiou/Desktop/spectrum/api/types/Search.js", "JavaScript", 45, 0, 1, 8, 54
"/Users/geoaeiou/Desktop/spectrum/api/types/Thread.js", "JavaScript", 127, 0, 1, 22, 150
"/Users/geoaeiou/Desktop/spectrum/api/types/ThreadParticipant.js", "JavaScript", 13, 0, 1, 2, 16
"/Users/geoaeiou/Desktop/spectrum/api/types/User.js", "JavaScript", 162, 0, 1, 33, 196
"/Users/geoaeiou/Desktop/spectrum/api/types/custom-scalars/LowercaseString.js", "JavaScript", 19, 0, 2, 3, 24
"/Users/geoaeiou/Desktop/spectrum/api/types/general.js", "JavaScript", 82, 0, 4, 15, 101
"/Users/geoaeiou/Desktop/spectrum/api/types/scalars.js", "JavaScript", 17, 0, 6, 4, 27
"/Users/geoaeiou/Desktop/spectrum/api/utils/UserError.js", "JavaScript", 11, 0, 1, 4, 16
"/Users/geoaeiou/Desktop/spectrum/api/utils/asyncify.js", "JavaScript", 57, 0, 2, 8, 67
"/Users/geoaeiou/Desktop/spectrum/api/utils/base64.js", "JavaScript", 5, 0, 11, 3, 19
"/Users/geoaeiou/Desktop/spectrum/api/utils/create-graphql-error-formatter.js", "JavaScript", 63, 0, 2, 10, 75
"/Users/geoaeiou/Desktop/spectrum/api/utils/file-storage.js", "JavaScript", 21, 0, 1, 6, 28
"/Users/geoaeiou/Desktop/spectrum/api/utils/file-system.js", "JavaScript", 32, 0, 1, 8, 41
"/Users/geoaeiou/Desktop/spectrum/api/utils/generate-thread-meta-image-from-text.js", "JavaScript", 59, 0, 6, 14, 79
"/Users/geoaeiou/Desktop/spectrum/api/utils/get-page-meta.js", "JavaScript", 144, 0, 14, 7, 165
"/Users/geoaeiou/Desktop/spectrum/api/utils/get-random-default-photo.js", "JavaScript", 20, 0, 2, 2, 24
"/Users/geoaeiou/Desktop/spectrum/api/utils/is-spectrum-url.js", "JavaScript", 22, 0, 8, 4, 34
"/Users/geoaeiou/Desktop/spectrum/api/utils/markdown-linkify.js", "JavaScript", 26, 0, 4, 4, 34
"/Users/geoaeiou/Desktop/spectrum/api/utils/paginate-arrays.js", "JavaScript", 22, 0, 6, 4, 32
"/Users/geoaeiou/Desktop/spectrum/api/utils/permissions.js", "JavaScript", 212, 0, 10, 59, 281
"/Users/geoaeiou/Desktop/spectrum/api/utils/rate-limit-directive.js", "JavaScript", 13, 0, 1, 2, 16
"/Users/geoaeiou/Desktop/spectrum/api/utils/s3.js", "JavaScript", 60, 0, 5, 9, 74
"/Users/geoaeiou/Desktop/spectrum/api/utils/session-store.js", "JavaScript", 23, 0, 7, 6, 36
"/Users/geoaeiou/Desktop/spectrum/api/utils/validate-draft-js-input.js", "JavaScript", 11, 0, 1, 2, 14
"Total", "-", 23866, 142, 1614, 3266, 28888
